VALUE,geometry,idx,lon,lat
8813,POINT (43.28333000000001 11.46666666666667),1,43.28333000000001,11.466666666666667
4773,POINT (43.30833000000001 11.46666666666667),2,43.308330000000005,11.466666666666667
11917,POINT (43.26666333333334 11.45833333333333),3,43.26666333333334,11.458333333333334
1413,POINT (43.27499666666667 11.45833333333333),4,43.274996666666674,11.458333333333334
18654,POINT (43.28333000000001 11.45833333333333),5,43.28333000000001,11.458333333333334
4606,POINT (43.29166333333334 11.45833333333333),6,43.29166333333334,11.458333333333334
4542,POINT (43.29999666666667 11.45833333333333),7,43.29999666666667,11.458333333333334
4542,POINT (43.30833000000001 11.45833333333333),8,43.308330000000005,11.458333333333334
6641,POINT (43.27499666666667 11.45),9,43.274996666666674,11.450000000000001
5939,POINT (43.28333000000001 11.45),10,43.28333000000001,11.450000000000001
11908,POINT (43.29166333333334 11.45),11,43.29166333333334,11.450000000000001
12625,POINT (43.29999666666667 11.45),12,43.29999666666667,11.450000000000001
759,POINT (43.30833000000001 11.45),13,43.308330000000005,11.450000000000001
89875,POINT (43.45833 11.45),14,43.458330000000004,11.450000000000001
97458,POINT (43.46666333333334 11.45),15,43.46666333333334,11.450000000000001
1464,POINT (43.27499666666667 11.44166666666667),16,43.274996666666674,11.441666666666668
2814,POINT (43.28333000000001 11.44166666666667),17,43.28333000000001,11.441666666666668
41616,POINT (43.29166333333334 11.44166666666667),18,43.29166333333334,11.441666666666668
5919,POINT (43.29999666666667 11.44166666666667),19,43.29999666666667,11.441666666666668
16184,POINT (43.30833000000001 11.44166666666667),20,43.308330000000005,11.441666666666668
16184,POINT (43.31666333333334 11.44166666666667),21,43.31666333333334,11.441666666666668
3333,POINT (43.37499666666668 11.44166666666667),22,43.374996666666675,11.441666666666668
156759,POINT (43.44999666666667 11.44166666666667),23,43.44999666666667,11.441666666666668
156759,POINT (43.45833 11.44166666666667),24,43.458330000000004,11.441666666666668
182434,POINT (43.46666333333334 11.44166666666667),25,43.46666333333334,11.441666666666668
17973,POINT (43.29166333333334 11.43333333333333),26,43.29166333333334,11.433333333333334
1067,POINT (43.29999666666667 11.43333333333333),27,43.29999666666667,11.433333333333334
35370,POINT (43.31666333333334 11.43333333333333),28,43.31666333333334,11.433333333333334
97004,POINT (43.34166333333334 11.43333333333333),29,43.34166333333334,11.433333333333334
46682,POINT (43.45833 11.43333333333333),30,43.458330000000004,11.433333333333334
46682,POINT (43.46666333333334 11.43333333333333),31,43.46666333333334,11.433333333333334
16543,POINT (43.31666333333334 11.425),32,43.31666333333334,11.425
16543,POINT (43.32499666666667 11.425),33,43.32499666666667,11.425
61603,POINT (43.33333 11.425),34,43.333330000000004,11.425
26250,POINT (43.34166333333334 11.41666666666667),35,43.34166333333334,11.416666666666668
5882,POINT (43.34166333333334 11.40833333333333),36,43.34166333333334,11.408333333333335
71100,POINT (43.34999666666667 11.40833333333333),37,43.34999666666667,11.408333333333335
15563,POINT (43.34999666666667 11.4),38,43.34999666666667,11.4
107576,POINT (43.35833 11.4),39,43.35833,11.4
24782,POINT (43.36666333333334 11.39166666666667),40,43.36666333333334,11.391666666666667
99997,POINT (43.37499666666668 11.39166666666667),41,43.374996666666675,11.391666666666667
59421,POINT (43.37499666666668 11.38333333333333),42,43.374996666666675,11.383333333333335
237489,POINT (43.38333000000001 11.38333333333333),43,43.38333000000001,11.383333333333335
62321,POINT (43.39999666666667 11.38333333333333),44,43.399996666666674,11.383333333333335
24000,POINT (43.40833000000001 11.38333333333333),45,43.40833000000001,11.383333333333335
4034,POINT (43.41666333333334 11.38333333333333),46,43.41666333333334,11.383333333333335
21010,POINT (43.38333000000001 11.375),47,43.38333000000001,11.375
21010,POINT (43.39166333333334 11.375),48,43.39166333333334,11.375
32456,POINT (43.39999666666667 11.375),49,43.399996666666674,11.375
1091,POINT (43.40833000000001 11.36666666666667),50,43.40833000000001,11.366666666666667
1061,POINT (43.42499666666667 11.36666666666667),51,43.42499666666667,11.366666666666667
12652,POINT (43.47499666666667 11.36666666666667),52,43.47499666666667,11.366666666666667
661,POINT (43.44166333333334 11.35833333333333),53,43.44166333333334,11.358333333333334
661,POINT (43.44999666666667 11.35833333333333),54,43.44999666666667,11.358333333333334
57377,POINT (43.46666333333334 11.35833333333333),55,43.46666333333334,11.358333333333334
11403,POINT (43.45833 11.35),56,43.458330000000004,11.350000000000001
5847,POINT (43.46666333333334 11.35),57,43.46666333333334,11.350000000000001
32122,POINT (43.47499666666667 11.35),58,43.47499666666667,11.350000000000001
860,POINT (43.47499666666667 11.34166666666667),59,43.47499666666667,11.341666666666667
2955,POINT (43.39999666666667 11.325),60,43.399996666666674,11.325000000000001
25891,POINT (43.40833000000001 11.325),61,43.40833000000001,11.325000000000001
25891,POINT (43.41666333333334 11.325),62,43.41666333333334,11.325000000000001
2789,POINT (43.39999666666667 11.31666666666667),63,43.399996666666674,11.316666666666668
108,POINT (43.48333 11.30833333333333),64,43.48333,11.308333333333334
231221,POINT (48.56666333333334 11.30833333333333),65,48.56666333333334,11.308333333333334
